id,apellido,nombre,id_pais,fecha_nacimiento,fecha_defuncion,biografia,created_at
329,Tartini,Giuseppe,24,1692-01-01,1770-01-01,,2025-12-06 03:45:14.417159+00
330,Tchaikovsky,Pyotr Ilyich,35,1840-01-01,1893-01-01,,2025-12-06 03:45:14.417159+00
331,Telemann,Georg Philipp,1,1681-01-01,1767-01-01,,2025-12-06 03:45:14.417159+00
332,The Blues Brothers,,17,,,,2025-12-06 03:45:14.417159+00
333,The Jackson Five,,17,,,,2025-12-06 03:45:14.417159+00
334,Tieri,José,2,1903-01-01,,,2025-12-06 03:45:14.417159+00
335,Tokyo Machine,,,,,,2025-12-06 03:45:14.417159+00
336,Toquinho,,8,1946-01-01,,,2025-12-06 03:45:14.417159+00
337,Toto,,,,,,2025-12-06 03:45:14.417159+00
338,Tradicional,,,,,,2025-12-06 03:45:14.417159+00
339,Tradicional Francés,,20,,,,2025-12-06 03:45:14.417159+00
340,Tradicional Inglés,,22,,,,2025-12-06 03:45:14.417159+00
341,Tyler,Steven,17,1948-01-01,,,2025-12-06 03:45:14.417159+00
342,Ugarte,Floro,2,1884-01-01,1975-01-01,,2025-12-06 03:45:14.417159+00
343,Vais,Nina,2,1987-01-01,,,2025-12-06 03:45:14.417159+00
344,Varios compositores,,,,,,2025-12-06 03:45:14.417159+00
345,Vaughan Williams,Ralph,22,1872-01-01,1958-01-01,,2025-12-06 03:45:14.417159+00
346,Vázquez,Francisco Lucio,2,,,,2025-12-06 03:45:14.417159+00
347,Verdi,Giuseppe,24,1813-01-01,1901-01-01,,2025-12-06 03:45:14.417159+00
348,Villa-Lobos,Heitor,8,1887-01-01,1959-01-01,,2025-12-06 03:45:14.417159+00
349,Villar,Sergio,2,1915-01-01,1956-01-01,,2025-12-06 03:45:14.417159+00
350,Villarejo,Patricio,2,,,,2025-12-06 03:45:14.417159+00
351,Villoldo,Ángel,2,1861-01-01,1919-01-01,,2025-12-06 03:45:14.417159+00
352,Vivaldi,Antonio,24,1678-01-01,1741-01-01,,2025-12-06 03:45:14.417159+00
353,Wagner,Richard,1,1813-01-01,1883-01-01,,2025-12-06 03:45:14.417159+00
354,Walsh,María Elena,2,1945-01-01,2008-01-01,,2025-12-06 03:45:14.417159+00
355,Warlock,Peter,22,1894-01-01,1930-01-01,,2025-12-06 03:45:14.417159+00
356,Weber,Carl Maria von,1,1786-01-01,1826-01-01,,2025-12-06 03:45:14.417159+00
357,Weiner,Léo,21,1885-01-01,1960-01-01,,2025-12-06 03:45:14.417159+00
358,Wieniawski,Henryk,30,1835-01-01,1880-01-01,,2025-12-06 03:45:14.417159+00
359,Wilberg,Mack J.,17,1955-01-01,,,2025-12-06 03:45:14.417159+00
360,Williams,Alberto,2,1862-01-01,1952-01-01,,2025-12-06 03:45:14.417159+00
361,Williams,John,17,1932-01-01,,,2025-12-06 03:45:14.417159+00
362,Yupanqui,Atahualpa,2,1908-01-01,1992-01-01,,2025-12-06 03:45:14.417159+00
363,Zalcman,Guillermo,2,1956-01-01,2021-01-01,,2025-12-06 03:45:14.417159+00
364,Zaldivar,Edmundo,2,1917-01-01,1978-01-01,,2025-12-06 03:45:14.417159+00
365,Zelda,,,,,,2025-12-06 03:45:14.417159+00
366,Zequinha,Abreu,8,1880-01-01,1935-01-01,,2025-12-06 03:45:14.417159+00
367,Zipoli,Domenico,24,1688-01-01,1726-01-01,,2025-12-06 03:45:14.417159+00
368,Zitarrosa,Alfredo,39,1936-01-01,1989-01-01,,2025-12-06 03:45:14.417159+00
369,Luzzatti,Arturo,2,1875-01-01,1959-01-01,,2025-12-06 03:45:14.417159+00
370,Soda Stereo,,2,,,,2025-12-06 03:45:14.417159+00
371,Romero,Aldemaro,40,1928-01-01,2007-01-01,,2025-12-06 03:45:14.417159+00
375,Wobbly,,,,,,2025-12-06 03:45:14.417159+00
377,Aburto,Nelson,2,,,,2025-12-06 04:11:11.910301+00
378,Acher,Ernesto,,,,,2025-12-06 04:11:11.910301+00
379,Adriansens,A.,,,,,2025-12-06 04:11:11.910301+00
380,Aibar,V,,,,,2025-12-06 04:11:11.910301+00
382,AltroStratus,,,,,,2025-12-06 04:11:11.910301+00
383,Archibald,Paul,,,,,2025-12-06 04:11:11.910301+00
384,Ashbridge,David,,,,,2025-12-06 04:11:11.910301+00
385,Aslamas,Anton,,,,,2025-12-06 04:11:11.910301+00
386,Atzler,Richard,,,,,2025-12-06 04:11:11.910301+00
387,Babusceac,Vasile,,,,,2025-12-06 04:11:11.910301+00
388,Barcos,Miguel,,,,,2025-12-06 04:11:11.910301+00
389,Belliston,Rebecca,,,,,2025-12-06 04:11:11.910301+00
390,Bertero,Fabián,,,,,2025-12-06 04:11:11.910301+00
391,Bia,Yanella,,,,,2025-12-06 04:11:11.910301+00
392,Bissill,Richard,,,,,2025-12-06 04:11:11.910301+00
393,Bortholossi,Daniel,,,,,2025-12-06 04:11:11.910301+00
394,Boyd,John,,,,,2025-12-06 04:11:11.910301+00
395,Bragatto,José,,,,,2025-12-06 04:11:11.910301+00
396,Branici,Gheorghe,,,,,2025-12-06 04:11:11.910301+00
397,Brubaker,Jerry,,,,,2025-12-06 04:11:11.910301+00
398,Cabello,Martín,,,,,2025-12-06 04:11:11.910301+00
399,Cáceres,Pablo,,,,,2025-12-06 04:11:11.910301+00
400,Camps,Pompeyo,,,,,2025-12-06 04:11:11.910301+00
401,Cardoso,Leandro,,,,,2025-12-06 04:11:11.910301+00
402,Cardozo Ocampo,Oscar,,,,,2025-12-06 04:11:11.910301+00
403,Clarke,Larry,,,,,2025-12-06 04:11:11.910301+00
404,Clements,Patrick,,,,,2025-12-06 04:11:11.910301+00
405,Colnot,Cliff,,,,,2025-12-06 04:11:11.910301+00
406,Correa,Carlos,,,,,2025-12-06 04:11:11.910301+00
407,Crees,Eric,,,,,2025-12-06 04:11:11.910301+00
409,Cuacci,Juan Esteban,,,,,2025-12-06 04:11:11.910301+00
410,Cucchiarelli&Guevara,,,,,,2025-12-06 04:11:11.910301+00
411,da Costa,Williames S.,,,,,2025-12-06 04:11:11.910301+00
412,Dacunda,Eduardo,,,,,2025-12-06 04:11:11.910301+00
413,Dal Santo,Viviana,2,,,,2025-12-06 04:11:11.910301+00
414,De Meij,Johan,,,,,2025-12-06 04:11:11.910301+00
415,Delgado,Gerardo,,,,,2025-12-06 04:11:11.910301+00
416,DeLuca,Jeremy,,,,,2025-12-06 04:11:11.910301+00
417,Desconocido,,,,,,2025-12-06 04:11:11.910301+00
418,Di Marino,Roberto,,,,,2025-12-06 04:11:11.910301+00
419,Dobrinescu,Ioan,,,,,2025-12-06 04:11:11.910301+00
420,Downey,Dylan,,,,,2025-12-06 04:11:11.910301+00
421,Driggs,Bob,,,,,2025-12-06 04:11:11.910301+00
422,Egli,Helmut,,,,,2025-12-06 04:11:11.910301+00
423,Escalona,Igor,,,,,2025-12-06 04:11:11.910301+00
424,Esnaola,Juan Pedro,,,,,2025-12-06 04:11:11.910301+00
426,Ferguson,Niall Taro,,,,,2025-12-06 04:11:11.910301+00
427,Fine,Elaine,,,,,2025-12-06 04:11:11.910301+00
428,Franzetti,Carlos,,,,,2025-12-06 04:11:11.910301+00
429,Gale,Jack,,,,,2025-12-06 04:11:11.910301+00
430,Garberi,Eliel,,,,,2025-12-06 04:11:11.910301+00
431,Giovannini,Francesco,,,,,2025-12-06 04:11:11.910301+00
432,Godoy,Amilson,,,,,2025-12-06 04:11:11.910301+00
433,Gómez,Miguel,,,,,2025-12-06 04:11:11.910301+00
435,Grossi,Gerardo,,,,,2025-12-06 04:11:11.910301+00
436,Guestrin,Néstor,,,,,2025-12-06 04:11:11.910301+00
437,Hagopian,Álvaro,,,,,2025-12-06 04:11:11.910301+00
438,Han,C.,,,,,2025-12-06 04:11:11.910301+00
439,Harris,Arthur,,,,,2025-12-06 04:11:11.910301+00
440,Henderson,Luther,,,,,2025-12-06 04:11:11.910301+00
441,Henry,Laurent,,,,,2025-12-06 04:11:11.910301+00
442,Hidalgo,Felipe,,,,,2025-12-06 04:11:11.910301+00
443,Hughes,Jonathan,,,,,2025-12-06 04:11:11.910301+00
444,Huls,Keegan,,,,,2025-12-06 04:11:11.910301+00
445,Iveson,John,,,,,2025-12-06 04:11:11.910301+00
446,Keeling,Andrew,,,,,2025-12-06 04:11:11.910301+00
447,Kim,Jungho,,,,,2025-12-06 04:11:11.910301+00
448,Kischkel,Tobías,,,,,2025-12-06 04:11:11.910301+00
449,Koda,Kenichi,,,,,2025-12-06 04:11:11.910301+00
452,Lichtmann,Jay,,,,,2025-12-06 04:11:11.910301+00
453,López y Planes,,,,,,2025-12-06 04:11:11.910301+00
454,López,Víctor,,,,,2025-12-06 04:11:11.910301+00
455,Loudet,Pablo,,,,,2025-12-06 04:11:11.910301+00
456,Ludwin,Norman,,,,,2025-12-06 04:11:11.910301+00
457,Luna,Frank,,,,,2025-12-06 04:11:11.910301+00
458,Lux,Friedrich,,,,,2025-12-06 04:11:11.910301+00
459,Malmasson,Jean-Yves,,,,,2025-12-06 04:11:11.910301+00
460,Manookian,Jeff,,,,,2025-12-06 04:11:11.910301+00
461,Martínez,T.,,,,,2025-12-06 04:11:11.910301+00
462,Messerschmidt,H.J.,,,,,2025-12-06 04:11:11.910301+00
463,Mills,Helen,,,,,2025-12-06 04:11:11.910301+00
464,Moore,Larry,,,,,2025-12-06 04:11:11.910301+00
465,Moreau,Hugo,,,,,2025-12-06 04:11:11.910301+00
466,Mosso,Mariano,,,,,2025-12-06 04:11:11.910301+00
467,Moule,James,,,,,2025-12-06 04:11:11.910301+00
468,Murtha,Paul,,,,,2025-12-06 04:11:11.910301+00
469,Myung,Jack,,,,,2025-12-06 04:11:11.910301+00
470,Naughtin,Matt,,,,,2025-12-06 04:11:11.910301+00
471,Neves,,,,,,2025-12-06 04:11:11.910301+00
473,Original,,,,,,2025-12-06 04:11:11.910301+00
474,Parlow,Albert,,,,,2025-12-06 04:11:11.910301+00
475,Peelen,G.,,,,,2025-12-06 04:11:11.910301+00
476,Pérez,Micaela,,,,,2025-12-06 04:11:11.910301+00
477,Pérez,Victhoria,,,,,2025-12-06 04:11:11.910301+00
478,Pesavento,Víctor,,,,,2025-12-06 04:11:11.910301+00
479,Pilar,Andrés,,,,,2025-12-06 04:11:11.910301+00
480,Purser,David,,,,,2025-12-06 04:11:11.910301+00
481,Rantucho,Martín,2,,,,2025-12-06 04:11:11.910301+00
482,Rebuffi,Marcelo,,,,,2025-12-06 04:11:11.910301+00
483,Reichel,Regina,,,,,2025-12-06 04:11:11.910301+00
485,Rondeau,Michel,,,,,2025-12-06 04:11:11.910301+00
486,Ross,William,,,,,2025-12-06 04:11:11.910301+00
488,Saba,Lilian,,,,,2025-12-06 04:11:11.910301+00
489,Sachs,Benno,,,,,2025-12-06 04:11:11.910301+00
490,Sadler,Brian,,,,,2025-12-06 04:11:11.910301+00
491,Salzman,Pablo,,,,,2025-12-06 04:11:11.910301+00
492,San Carlos,David,,,,,2025-12-06 04:11:11.910301+00
494,Sánchez,Daniel,,,,,2025-12-06 04:11:11.910301+00
495,Sandy Fedelstein & Larry Clarke,,,,,,2025-12-06 04:11:11.910301+00
496,Scalona,Igor,,,,,2025-12-06 04:11:11.910301+00
497,Scribner,William,,,,,2025-12-06 04:11:11.910301+00
498,Slade,Jeff,,,,,2025-12-06 04:11:11.910301+00
499,smedvig,Rolf,,,,,2025-12-06 04:11:11.910301+00
500,Smith,Wyatt,,,,,2025-12-06 04:11:11.910301+00
501,Snell,Keith,,,,,2025-12-06 04:11:11.910301+00
502,Spattoco,Popi,,,,,2025-12-06 04:11:11.910301+00
503,Steven,Verhelst,,,,,2025-12-06 04:11:11.910301+00
504,Suárez,María,,,,,2025-12-06 04:11:11.910301+00
505,Sweeney,Michael,,,,,2025-12-06 04:11:11.910301+00
506,Tapia Salfate,Rodrigo,,,,,2025-12-06 04:11:11.910301+00
507,Torres Mora,Celso,,,,,2025-12-06 04:11:11.910301+00
508,Tóth Tamás,Gyarmati,,,,,2025-12-06 04:11:11.910301+00
509,van der Mooden,Matthijs,,,,,2025-12-06 04:11:11.910301+00
510,Varum,Noah Z.,,,,,2025-12-06 04:11:11.910301+00
511,Villarejo,Patricio,,,,,2025-12-06 04:11:11.910301+00
512,Vizcaino,Rafa,,,,,2025-12-06 04:11:11.910301+00
513,Walsh,Brian,,,,,2025-12-06 04:11:11.910301+00
514,Wobbly,,,,,,2025-12-06 04:11:11.910301+00
515,cdd,ff,,,,,2025-12-06 19:16:41.128349+00
519,Strauss,Richard,,,,,2025-12-12 20:27:56.142252+00
524,Strauss,Richard,,,,,2025-12-12 21:54:17.786569+00
525,Álvarez,Javier,,,,,2025-12-13 04:49:30.589328+00
526,Büsser,Henri,,,,,2025-12-13 12:29:53.83008+00
527,Bruckner,Anton,,,,,2025-12-13 12:52:10.148445+00
529,Ginastera,Alberto,,,,,2025-12-13 15:35:41.066878+00
530,Fiorentino,Cecilia,,,,,2025-12-13 15:47:42.654193+00
531,Fiorentino,Cecilia,,,,,2025-12-13 16:02:12.255193+00
532,Bernal Jiménez,Miguel,26,,,,2025-12-14 10:41:43.257802+00
533,Enríquez,Gina,26,,,,2025-12-14 10:42:03.973515+00
534,Peña,Jenny,26,,,,2025-12-14 10:42:19.795101+00
535,Bacewycz,Grazyna,26,,,,2025-12-14 10:42:34.357327+00
536,Smedvig,Rolf,,,,,2025-12-14 11:03:01.499189+00
537,Paz,Mariela,,,,,2025-12-25 11:45:24.755228+00
538,Jolivet,André,,,,,2025-12-25 11:46:11.374295+00
539,Duarte,Darío,,,,,2025-12-25 11:48:46.987993+00
540,Respighi,Ottorino,,,,,2025-12-25 11:50:51.60497+00
541,Weill,Kurt,1,1900-03-02,1950-04-03,,2026-01-23 21:41:31.549558+00
543,Steven,Verhelst - Lema,,,,,2026-01-30 21:37:30.323366+00
544,González,F.,,,,,2026-01-30 21:37:30.323366+00
546,Webern,Anton,5,1883-12-03,1945-09-15,,2026-02-13 01:47:00.8591+00
549,Pérez,Roberto,,,,,2026-02-16 15:07:19.266027+00
550,Holst,Gustav,,,,,2026-02-16 21:54:51.631247+00
551,Gomes,Antônio Carlos,8,1836-07-11,1896-09-16,,2026-02-16 21:57:06.718991+00
553,Milhaud,Darius,,,,,2026-02-17 14:40:06.261304+00
554,Scriabin,Aleksandr,,,,,2026-02-17 15:51:30.776487+00
555,Posetti,Sonia,2,1973-01-01,,,2026-02-18 14:48:40.186367+00
556,Romano Ariel,,,,,,2026-02-18 14:54:57.331168+00
557,Schmid,Ernst Fritz,,,,,2026-02-23 13:46:23.443264+00
558,Trembley,Jim,,,,,2026-02-23 21:18:01.384413+00
559,"Diz, Esequiel",,,,,,2026-02-23 23:00:39.228301+00
560,William Grant Still,,,,,,2026-02-24 14:03:32.694727+00
561,John Rutter,,,,,,2026-02-24 14:05:56.144087+00
