id,apellido,nombre,id_pais,fecha_nacimiento,fecha_defuncion,biografia,created_at
101,Espel,Guillo,2,1959-01-01,,,2025-12-06 03:45:14.417159+00
102,Estefan,Gloria,13,1957-01-01,,,2025-12-06 03:45:14.417159+00
103,Ewazen,Eric,17,1954-01-01,,,2025-12-06 03:45:14.417159+00
104,Expósito,Virgilio,2,1918-01-01,1997-01-01,,2025-12-06 03:45:14.417159+00
105,Falú,Eduardo,2,1923-01-01,2013-01-01,,2025-12-06 03:45:14.417159+00
106,Falú,Juan,2,1948-01-01,,,2025-12-06 03:45:14.417159+00
107,Fandermole,Jorge,2,1956-01-01,,,2025-12-06 03:45:14.417159+00
108,Farrenc,Louise,20,1804-01-01,1875-01-01,,2025-12-06 03:45:14.417159+00
109,Farrés,Oswaldo,13,1902-01-01,1985-01-01,,2025-12-06 03:45:14.417159+00
110,Fauré,Gabriel,20,1845-01-01,1924-01-01,,2025-12-06 03:45:14.417159+00
111,Feldstein,Sandy,17,1940-01-01,2007-01-01,,2025-12-06 03:45:14.417159+00
112,Fernández,Lorenzo,8,1897-01-01,1948-01-01,,2025-12-06 03:45:14.417159+00
113,Ferrero,Raúl,2,1969-01-01,,,2025-12-06 03:45:14.417159+00
114,Ficher,Jacobo,36,1896-01-01,1978-01-01,,2025-12-06 03:45:14.417159+00
115,Figueroa Mañas,Adriana Isabel,2,1966-01-01,,,2025-12-06 03:45:14.417159+00
116,Finzi,Gerald,22,1901-01-01,1956-01-01,,2025-12-06 03:45:14.417159+00
117,Fiorentino,Cecilia,2,,,,2025-12-06 03:45:14.417159+00
118,Páez,Fito,2,1963-01-01,,,2025-12-06 03:45:14.417159+00
119,Florit Servetti,Carlos,39,1956-01-01,,,2025-12-06 03:45:14.417159+00
120,Fox,Toby,17,1991-01-01,,,2025-12-06 03:45:14.417159+00
121,Fraile Milstein,Martín,2,,,,2025-12-06 03:45:14.417159+00
122,Fripp,Robert,22,1946-01-01,,,2025-12-06 03:45:14.417159+00
123,Gabriel,Juan,26,1950-01-01,2016-01-01,,2025-12-06 03:45:14.417159+00
124,Gaito,Constantino,2,1878-01-01,1945-01-01,,2025-12-06 03:45:14.417159+00
125,Gaos,Andrés,2,1874-01-01,1959-01-01,,2025-12-06 03:45:14.417159+00
126,García-Mansilla,Eduardo,2,1862-01-01,1930-01-01,,2025-12-06 03:45:14.417159+00
127,García,Denise,8,1955-01-01,,,2025-12-06 03:45:14.417159+00
